name,closed,review,rating,categories,phone,distance,latitude,longitude,address,station_name
Toronto Reference Library,False,70,4.5,Libraries,+14163955577,1042.3715698843735,43.67188,-79.38663,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,41,3.0,Vegetarian,+16474977590,425.5532625795123,43.66099,-79.38385,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Kupfert & Kim,False,10,4.5,Gluten-Free,+14169251222,1105.2795508807612,43.6697979431727,-79.391163289547,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Mad Radish,False,9,4.5,Salad,+14167920700,864.4920277333075,43.671059257513704,-79.38384186503123,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,5,3.0,Vegetarian,+16473507797,216.55977444744667,43.66553,-79.38049,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,7,4.0,Salad,+14169773197,474.7004804930343,43.65958,-79.38102,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,940.5265181329406,43.6666730790851,-79.3912459850874,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,738.7877951725193,43.65756405198712,-79.38373638423317,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,53,3.0,Salad,+14169212300,1101.1768910776427,43.6706282,-79.3901,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Yorkville Library,False,8,3.5,Libraries,+14163937660,1125.5697395920333,43.67194,-79.38863,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,6,3.5,Salad,+16474848548,592.508065260245,43.66464,-79.3876,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
"The Japan Foundation, Toronto",False,3,4.5,Libraries,+14169661600,936.8268723609858,43.67072,-79.38551,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Vege Delight,False,1,4.0,Vegetarian,+16473490803,1075.8264335909953,43.655013,-79.3863578,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Vegholic,False,1,3.0,Vegetarian,+14163400015,578.8336668771555,43.6587182,-79.382272,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Freshii,False,13,3.0,Vegetarian,+16477481800,1036.8333397883698,43.65625,-79.38818,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,682.1612454160553,43.65767,-79.3811,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Toronto Public Library - St. James Town Branch,False,3,4.0,Libraries,+14163937744,623.8180190615933,43.66789,-79.37469,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Toronto Public Library - Parliament Street Branch,False,6,2.0,Libraries,+14163937663,1012.5827338514251,43.66183,-79.36791,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Sun Life Financial Museum + Arts Pass,False,1,5.0,Museums,,1039.57617331475,43.6718788,-79.3866272,"789 Yonge Street, Toronto, ON M4W 2G8, Canada",Church St / Alexander St
Saigon Lotus,False,221,4.5,Vietnamese,+14169011115,894.6892784225556,43.65449,-79.39928,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
PLANTA Toronto,False,173,4.0,Tapas/Small Plates,+16478121210,784.8661377144938,43.65082,-79.3878,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Gerstein Science Information Centre,False,9,4.5,Libraries,+14169782280,604.5445918142096,43.66221,-79.39407,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Freshii,False,13,3.0,Vegetarian,+16477481800,177.44045979401943,43.65625,-79.38818,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,437.275426609338,43.65756405198712,-79.38373638423317,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,1004.7964665902643,43.6666730790851,-79.3912459850874,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Freshii,False,41,3.0,Vegetarian,+16474977590,548.8869559246026,43.66099,-79.38385,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Freshii,False,7,4.0,Salad,+14169773197,682.1561510327018,43.65958,-79.38102,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Vege Delight,False,1,4.0,Vegetarian,+16473490803,375.91934081943003,43.655013,-79.3863578,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Crave Healthy Habits,False,25,4.0,Gluten-Free,+14168553322,995.0806762696462,43.64999,-79.383189,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Toronto Public Library,False,14,3.0,Libraries,+14163937746,735.3823641465289,43.65792,-79.39834,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Thomas Fisher Rare Book Library,False,4,4.0,Libraries,+14169785285,1056.5289749621224,43.66409,-79.39892,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Vegholic,False,1,3.0,Vegetarian,+14163400015,564.5959295123587,43.6587182,-79.382272,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Robarts Library,False,26,3.0,Libraries,+14169788450,1107.9453479188203,43.66453,-79.39913,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
John W. Graham Library,False,2,5.0,Libraries,+14169785851,975.3479480615674,43.66501,-79.3966,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,641.3121100223384,43.65767,-79.3811,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Freshii,False,25,2.5,Vegetarian,+14165984441,840.9898988553532,43.65367,-79.38007,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
Freshii,False,6,3.5,Salad,+16474848548,766.4714425094145,43.66464,-79.3876,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
City Hall Public Library,False,6,3.5,Libraries,+14163937650,652.406139607595,43.65334661098505,-79.38382620000098,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
University of Toronto Engineering and Computer Science Library,False,2,3.0,Libraries,+14169786494,520.0710352732092,43.66002,-79.39467,"10 King's College Road, Room 2402, Toronto, ON M5S 3G8, Canada",University Ave / Gerrard St W (East Side)
PLANTA Toronto,False,173,4.0,Tapas/Small Plates,+16478121210,772.8216792801259,43.65082,-79.3878,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Kupfert & Kim,False,130,4.0,Vegetarian,+14165041233,912.2735079209613,43.6485583,-79.3817111,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,122.87618296845265,43.65756405198712,-79.38373638423317,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,7,4.0,Salad,+14169773197,336.0380396921797,43.65958,-79.38102,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Copper Branch,False,39,3.5,Vegan,+14167922982,990.5080927431536,43.64823,-79.37952,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Gerstein Science Information Centre,False,9,4.5,Libraries,+14169782280,1065.0746509023274,43.66221,-79.39407,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,158.83086526258245,43.65767,-79.3811,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,41,3.0,Vegetarian,+16474977590,491.45451528546863,43.66099,-79.38385,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Vegholic,False,1,3.0,Vegetarian,+14163400015,224.3162332416766,43.6587182,-79.382272,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Vege Delight,False,1,4.0,Vegetarian,+16473490803,340.99350735238676,43.655013,-79.3863578,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,13,3.0,Vegetarian,+16477481800,438.8082888773405,43.65625,-79.38818,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,25,2.5,Vegetarian,+14165984441,372.0957703094391,43.65367,-79.38007,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
City Hall Public Library,False,6,3.5,Libraries,+14163937650,386.195302942428,43.65334661098505,-79.38382620000098,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Crave Healthy Habits,False,25,4.0,Gluten-Free,+14168553322,759.7826062178481,43.64999,-79.383189,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,25,2.0,Vegetarian,+16473445017,978.2966178425581,43.65009911988288,-79.37474237242134,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,11,3.0,Salad,+16476925173,968.9345858049949,43.6482242201003,-79.3853582879312,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,6,3.5,Salad,+16474848548,953.2001858615612,43.66464,-79.3876,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Fit For Life,False,10,2.5,Breakfast & Brunch,+14163632971,990.5080927431536,43.64823,-79.37952,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,5,3.0,Vegetarian,+16473507797,1007.2182401268115,43.66553,-79.38049,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Freshii,False,6,2.5,Vegetarian,+14167928418,572.3577614607601,43.6515826514359,-79.3828758178581,"65 Queen St W, Toronto, ON M5H 2M5, Canada",Edward St / Yonge St
Ghazale Restaurant,False,98,3.5,Salad,+14165374417,337.7256169580958,43.665184389858,-79.4107031822205,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
The Grapefruit Moon,False,143,3.5,Breakfast & Brunch,+14165349056,593.1746130724957,43.66967,-79.41318,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Toronto Public Library - Palmerston Branch,False,5,4.0,Libraries,+14163937680,88.23762734881115,43.66509,-79.41415,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Annapurna Vegetarian Restaurant,False,41,4.0,Vegetarian,+14165378513,928.6942785897156,43.67279,-79.41396,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Fennel Eatery,False,11,4.0,Vegan,+14169228125,963.9294185317084,43.6669399,-79.40321,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Freshii,False,10,2.0,Salad,+16477936309,702.207499070595,43.66637,-79.40636,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Toronto Zine Library,False,1,4.0,Libraries,,603.5853732828567,43.6652822,-79.4073643,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Sunny Cafe,False,3,5.0,Vegetarian,,963.9294185317084,43.6669399,-79.40321,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
Spadina Road Library,False,2,2.0,Libraries,+14163937666,890.5357935183232,43.66767,-79.40463,"10 Spadina Road, Toronto, ON M5R 2S7, Canada",Euclid Ave / Bloor St W
PLANTA Yorkville,False,512,4.0,Vegetarian,+16478121221,588.9538905913009,43.67028,-79.38945,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Toronto Reference Library,False,70,4.5,Libraries,+14163955577,440.1385402387523,43.67188,-79.38663,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Govinda's,False,43,4.0,Vegetarian,+18882181040,694.5040228769386,43.67684518603757,-79.3972886196434,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Kupfert & Kim,False,10,4.5,Gluten-Free,+14169251222,659.7379435208269,43.6697979431727,-79.391163289547,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Mad Radish,False,9,4.5,Salad,+14167920700,636.9476481879602,43.671059257513704,-79.38384186503123,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Yorkville Library,False,8,3.5,Libraries,+14163937660,402.158196254076,43.67194,-79.38863,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,999.2498471602413,43.6666730790851,-79.3912459850874,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Freshii,False,53,3.0,Salad,+14169212300,549.976563524036,43.6706282,-79.3901,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Sun Life Financial Museum + Arts Pass,False,1,5.0,Museums,,443.0493132058666,43.6718788,-79.3866272,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
"The Japan Foundation, Toronto",False,3,4.5,Libraries,+14169661600,553.0951150337033,43.67072,-79.38551,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Freshii,False,3,4.0,Salad,+16477944545,622.2339750521904,43.6712,-79.39436,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
OISE Library,False,2,3.5,Libraries,+14169781850,1135.697703863314,43.6680150988103,-79.3984776493066,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Urban Affairs Library - Research & Reference,False,2,3.0,Libraries,+14163977241,434.17867832052957,43.6718760241617,-79.3868207931519,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
Fit For Life,False,9,1.5,Vegetarian,+14169649816,574.8178448761876,43.670475,-79.387135,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Yonge St / Aylmer Ave
PLANTA Yorkville,False,512,4.0,Vegetarian,+16478121221,763.5503813344125,43.67028,-79.38945,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Govinda's,False,43,4.0,Vegetarian,+18882181040,221.76537693097205,43.67684518603757,-79.3972886196434,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Toronto Reference Library,False,70,4.5,Libraries,+14163955577,838.1357543933738,43.67188,-79.38663,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Kupfert & Kim,False,10,4.5,Gluten-Free,+14169251222,708.7495208644089,43.6697979431727,-79.391163289547,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,1009.4215022677973,43.6666730790851,-79.3912459850874,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Freshii,False,3,4.0,Salad,+16477944545,393.3228027511939,43.6712,-79.39436,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Freshii,False,53,3.0,Salad,+14169212300,694.1384231049558,43.6706282,-79.3901,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Fennel Eatery,False,11,4.0,Vegan,+14169228125,1057.8074446614244,43.6669399,-79.40321,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Yorkville Library,False,8,3.5,Libraries,+14163937660,709.4790277410299,43.67194,-79.38863,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
"The Japan Foundation, Toronto",False,3,4.5,Libraries,+14169661600,904.9981355595567,43.67072,-79.38551,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
OISE Library,False,2,3.5,Libraries,+14169781850,795.6925972709124,43.6680150988103,-79.3984776493066,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Sun Life Financial Museum + Arts Pass,False,1,5.0,Museums,,839.8689396277,43.6718788,-79.3866272,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Freshii,False,10,2.0,Salad,+16477936309,1265.567549652428,43.66637,-79.40636,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Sunny Cafe,False,3,5.0,Vegetarian,,1057.8074446614244,43.6669399,-79.40321,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Urban Affairs Library - Research & Reference,False,2,3.0,Libraries,+14163977241,835.3906893452731,43.6718760241617,-79.3868207931519,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Spadina Road Library,False,2,2.0,Libraries,+14163937666,1054.1975699813522,43.66767,-79.40463,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
Fit For Life,False,9,1.5,Vegetarian,+14169649816,890.1103993802027,43.670475,-79.387135,"2 Bloor Street W, Toronto, ON M4W 3E2, Canada",Davenport Rd / Avenue Rd
PLANTA Yorkville,False,512,4.0,Vegetarian,+16478121221,235.004863585266,43.67028,-79.38945,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Toronto Reference Library,False,70,4.5,Libraries,+14163955577,78.31927187418779,43.67188,-79.38663,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Kupfert & Kim,False,10,4.5,Gluten-Free,+14169251222,362.0480748614034,43.6697979431727,-79.391163289547,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Mad Radish,False,9,4.5,Salad,+14167920700,331.51075203145314,43.671059257513704,-79.38384186503123,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Freshii,False,53,3.0,Salad,+14169212300,237.24297411374113,43.6706282,-79.3901,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Yorkville Library,False,8,3.5,Libraries,+14163937660,64.08725025847684,43.67194,-79.38863,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Govinda's,False,43,4.0,Vegetarian,+18882181040,939.1816921918837,43.67684518603757,-79.3972886196434,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
"The Japan Foundation, Toronto",False,3,4.5,Libraries,+14169661600,158.16850411657296,43.67072,-79.38551,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,649.089049292036,43.6666730790851,-79.3912459850874,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Sun Life Financial Museum + Arts Pass,False,1,5.0,Museums,,79.43268981739627,43.6718788,-79.3866272,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Urban Affairs Library - Research & Reference,False,2,3.0,Libraries,+14163977241,77.35624531716223,43.6718760241617,-79.3868207931519,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Fit For Life,False,9,1.5,Vegetarian,+14169649816,171.33638728245927,43.670475,-79.387135,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Freshii,False,3,4.0,Salad,+16477944545,543.7902509930799,43.6712,-79.39436,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
Thomas Fisher Rare Book Library,False,4,4.0,Libraries,+14169785285,1256.2863721699096,43.66409,-79.39892,"15 King's College Cir, 2nd Fl, N Wing, Toronto, ON M5S 3H7, Canada",Yonge St / Yorkville Ave
