name,closed,review,rating,categories,phone,distance,latitude,longitude,address
Fit For Life,False,10,2.5,Breakfast & Brunch,+14163632971,610.3416378707287,43.64823,-79.37952,"['Commerce Court', '199 Bay St', 'Toronto, ON M5J', 'Canada']"
Vegholic,False,1,3.0,Vegetarian,+14163400015,755.9033508274568,43.6587182,-79.382272,"['372 Yonge Street', 'Toronto, ON M5G 2K9', 'Canada']"
Vege Delight,False,1,4.0,Vegetarian,+16473490803,799.0437054752484,43.655013,-79.3863578,"['173 Dundas Street W', 'Toronto, ON M5G 1C7', 'Canada']"
Freshii,False,13,3.0,Vegetarian,+16477481800,983.5960854358871,43.65625,-79.38818,"['525 University Ave', 'Toronto, ON M5G 2L3', 'Canada']"
Freshii,False,2,3.5,Salad,+16473465505,487.7477782082026,43.64935,-79.379528,"['40 King St W', 'Toronto, ON M5H 3Y2', 'Canada']"
Fit For Life,False,1,4.0,Vegetarian,+14163685745,754.2105766842482,43.64652,-79.3787399,"['161 Bay St', 'Toronto, ON M5J 2S1', 'Canada']"
Freshii,False,11,3.0,Salad,+16476925173,891.0910902485906,43.6482242201003,-79.3853582879312,"['154 University Ave', 'Unit 100', 'Toronto, ON M5H 3Y9', 'Canada']"
PLANTA Yorkville,False,512,4.0,Vegetarian,+16478121221,1031.7696244051954,43.67028,-79.38945,"['1221 Bay Street', 'Toronto, ON M5R 3P5', 'Canada']"
Toronto Reference Library,False,70,4.5,Libraries,+14163955577,1042.3715698843735,43.67188,-79.38663,"['789 Yonge Street', 'Main Floor', 'Toronto, ON M4W 2G8', 'Canada']"
Freshii,False,41,3.0,Vegetarian,+16474977590,425.5532625795123,43.66099,-79.38385,"['23 College St', 'Toronto, ON M5G 2B3', 'Canada']"
Kupfert & Kim,False,10,4.5,Gluten-Free,+14169251222,1105.2795508807612,43.6697979431727,-79.391163289547,"['100 Bloor Street W', 'Toronto, ON M5S 3L7', 'Canada']"
Mad Radish,False,9,4.5,Salad,+14167920700,864.4920277333075,43.671059257513704,-79.38384186503123,"['120 Bloor Street E', 'Toronto, ON M4W 1B7', 'Canada']"
Freshii,False,5,3.0,Vegetarian,+16473507797,216.55977444744667,43.66553,-79.38049,"['77 Wellesley St E', 'Toronto, ON M4Y 1H5', 'Canada']"
Freshii,False,7,4.0,Salad,+14169773197,474.7004804930343,43.65958,-79.38102,"['26 Gerrard St E', 'The Saint James Hotel', 'Toronto, ON M5B 1G3', 'Canada']"
EJ Pratt Libary,False,7,4.5,Libraries,+14165854470,940.5265181329406,43.6666730790851,-79.3912459850874,"[""71 Queen's Park Cres E"", 'Toronto, ON M5S 1K7', 'Canada']"
Punjabi Chaap Corner,False,5,4.0,Vegetarian,+14165983787,738.7877951725193,43.65756405198712,-79.38373638423317,"['38 Elm Street', 'Unit 06A', 'Toronto, ON M5G 2K5', 'Canada']"
Freshii,False,53,3.0,Salad,+14169212300,1101.1768910776427,43.6706282,-79.3901,"['1250 Bay St', 'Toronto, ON M5R 2A5', 'Canada']"
Freshii,False,6,3.5,Salad,+16474848548,592.508065260245,43.66464,-79.3876,"['56 Wellesley St W', 'Toronto, ON M5S 2S3', 'Canada']"
"The Japan Foundation, Toronto",False,3,4.5,Libraries,+14169661600,936.8268723609858,43.67072,-79.38551,"['2 Bloor Street E', 'Suite 300', 'Toronto, ON M4W 3E2', 'Canada']"
Vegholic,False,1,3.0,Vegetarian,+14163400015,578.8336668771555,43.6587182,-79.382272,"['372 Yonge Street', 'Toronto, ON M5G 2K9', 'Canada']"
Yorkville Library,False,8,3.5,Libraries,+14163937660,1125.5697395920333,43.67194,-79.38863,"['22 Yorkville Avenue', 'Toronto, ON M4W 1L4', 'Canada']"
Ryerson University Student Learning Centre,False,4,3.5,Libraries,+14169795000,682.1612454160553,43.65767,-79.3811,"['341 Yonge Street', 'Toronto, ON M5B 1S1', 'Canada']"
Vege Delight,False,1,4.0,Vegetarian,+16473490803,1075.8264335909953,43.655013,-79.3863578,"['173 Dundas Street W', 'Toronto, ON M5G 1C7', 'Canada']"
Toronto Public Library - St. James Town Branch,False,3,4.0,Libraries,+14163937744,623.8180190615933,43.66789,-79.37469,"['495 Sherbourne St', 'Toronto, ON M4X 1L1', 'Canada']"
Freshii,False,13,3.0,Vegetarian,+16477481800,1036.8333397883698,43.65625,-79.38818,"['525 University Ave', 'Toronto, ON M5G 2L3', 'Canada']"
Toronto Public Library - Parliament Street Branch,False,6,2.0,Libraries,+14163937663,1012.5827338514251,43.66183,-79.36791,"['269 Gerrard Street East', 'Toronto, ON M5A 2G1', 'Canada']"
Sun Life Financial Museum + Arts Pass,False,1,5.0,Museums,,1039.57617331475,43.6718788,-79.3866272,"['789 Yonge Street', 'Toronto, ON M4W 2G8', 'Canada']"
