name,distance,category,latitude,longitude,rating,reviews,description,formatted_address,telephone,tips,hours,station_name
Toronto Public Library,705,Library,43.667774,-79.374796,6.5,12.0,,"495 Sherbourne St (Wellesley Ave), Toronto ON M4X 1K7",(416) 393-7744,very limited number of free museum tickets. otherwise civilized facilities invaded by mentals,Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00; Sun 13:30-17:00,Church St / Alexander St
Soy Boys,95,Ice Cream,43.664583,-79.380088,,,,"471 Church St, Toronto ON M4Y 2C5",,,Mon-Fri 00:00-3:00; Sat-Sun 00:00-4:00,Church St / Alexander St
Freshii,834,Vegan and Vegetarian Restaurant,43.670301,-79.385284,6.1,65.0,,"53 Bloor St E (at Yonge St.), Toronto ON M4W 1A9",(416) 925-5617,You can't tap to pay. i.e. Eat somewhere else.,Mon-Fri 10:30-20:00,Church St / Alexander St
Canadian Lesbian and Gay Archives,555,Library,43.668057,-79.384054,,,,"34 Isabella St (at Yonge St.), Toronto ON M4Y 1N1",(416) 777-2755,"Did you know that the CLGA was founded in 1973 and has grown from just a few boxes of material to one of the largest LGBTQ archives in the world? Come visit us during Doors Open on May 25-26, 2013!",Tue-Thu 19:30-22:00; Fri 13:00-17:00,Church St / Alexander St
Canadian Music Centre,557,Library,43.666034,-79.386398,,,,"20 Saint Joseph St (Bay & Wellesley), Toronto ON M4Y 1J9",(416) 961-6601,Beautiful visual music!,Mon-Fri 9:00-17:00,Church St / Alexander St
Avelo,610,Vegan and Vegetarian Restaurant,43.66706,-79.386187,,,,"51 St Nicholas St, Toronto ON M4Y 1W6",(647) 643-3132,None of us enjoyed any of the dishes.  The drinks and service were fine but something was very wrong with the coconut oil (which was used in every dish).  We also left hungry after having spent $500.,Tue-Sat 17:00-23:59,Church St / Alexander St
Teriyaki Experience,744,Fast Food,43.659865,-79.388642,,,"Since 1986 Teriyaki Experience has been a trailblazer within the fast food market, providing Japanese-inspired food that is both flavourful and healthy. Each guest enjoys a unique experience as each meal is made right before their eyes on a traditional teppanyaki grill.","101 College St, Toronto ON M5G 1L7",(416) 591-1712,,Mon-Fri 10:30-16:30,Church St / Alexander St
J. M. Kelly Library,770,Library,43.664905,-79.389585,,,,"113 Saint Joseph St (University of Toronto), Toronto ON M5S 3C2",(416) 926-7114,People need to STFU. It's a library. If you want to talk go to the stairwell or cafeteria.,Mon-Fri 8:30-23:45; Sat 10:00-23:45; Sun 1:00-23:45,Church St / Alexander St
Revelstoke Kitchen & Cafe,779,Vegan and Vegetarian Restaurant,43.663411,-79.370689,,,,"195 Carlton St (Ontario Street), Toronto ON M5A 2K7",(647) 368-8335,They've finally acquired a liquor license,Mon-Thu 10:00-21:00; Fri-Sat 10:00-22:00; Sun 10:00-19:00,Church St / Alexander St
Rosalinda,894,Mexican,43.650207,-79.384813,8.7,35.0,,"133 Richmond St W, Toronto ON M5H 2L3",(416) 907-0650,Most flavourful vegan food I’ve ever had—great for sharing!,Tue-Sat 12:00-21:00,University Ave / Gerrard St W (East Side)
Toronto Public Library,741,Library,43.657867,-79.398376,8.3,38.0,,"239 College St (at Huron St.), Toronto ON M5T 1R5",(416) 393-7746,Real weird people here.,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,University Ave / Gerrard St W (East Side)
Saigon Lotus,895,Vegan and Vegetarian Restaurant,43.65445,-79.399046,7.8,18.0,Saigon Lotus is a Vietnamese Vegan Restaurant located in Chinatown Toronto,"6 St Andrew St (Spadina Ave), Toronto ON M5T 1K6",(416) 901-1115,Amazing food.  Didn’t thing vegan food would be so good and it was not that costly.,Open Daily 11:00-23:00,University Ave / Gerrard St W (East Side)
Planta Queen,797,Vegan and Vegetarian Restaurant,43.650697,-79.388116,7.6,30.0,,"180 Queen St W, Toronto ON M5V 3X3",(647) 812-1221,"Love this place!!!! It does vegetarian food so well, I feel like I never have to eat meat. Amazing quality, amazing taste",Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,University Ave / Gerrard St W (East Side)
Freshii,548,Salad,43.661036,-79.384105,7.2,29.0,,"23 College St (btwn Yonge & Bay), Toronto ON M5G 2B3",(647) 497-7590,"Healthy and tasty. Live the concept. Wraps with spinach and goat cheese or bacon and eggs, various satisfying oatmeal, smoothies, juices, breakfast balls, energii bites...all yum.",Mon-Fri 9:00-21:00; Sat-Sun 11:00-19:00,University Ave / Gerrard St W (East Side)
Veggie d'Light,905,Caribbean,43.655062,-79.399892,7.4,8.0,,"160A Baldwin St (Spadina & Baldwin), Toronto ON M5T 3K7",(647) 352-7581,"Have the meal combo, they always give you extra... :)",Open Daily 11:00-20:00,University Ave / Gerrard St W (East Side)
Toronto Public Library,740,Library,43.653512,-79.384123,6.9,15.0,,"100 Queen St W (City Hall), Toronto ON M5H 2N3",(416) 393-7650,Get photo of this building. Great architecture!,Mon-Fri 10:00-18:00,University Ave / Gerrard St W (East Side)
Teriyaki Experience,257,Fast Food,43.659865,-79.388642,,,"Since 1986 Teriyaki Experience has been a trailblazer within the fast food market, providing Japanese-inspired food that is both flavourful and healthy. Each guest enjoys a unique experience as each meal is made right before their eyes on a traditional teppanyaki grill.","101 College St, Toronto ON M5G 1L7",(416) 591-1712,,Mon-Fri 10:30-16:30,University Ave / Gerrard St W (East Side)
Vegedelight Vegetarian Restaurant Toronto 波羅蜜養生素食,376,Vegan and Vegetarian Restaurant,43.655043,-79.386237,,,,"173 Dundas St W, Toronto ON M5G 1C7",(416) 581-8668,,Mon-Sat 11:00-21:00,University Ave / Gerrard St W (East Side)
E.P. Taylor Research Library & Archives,500,Library,43.654214,-79.393024,,,,"317 Dundas St W, Toronto ON M5T 1G4",,,,University Ave / Gerrard St W (East Side)
Rosalinda,745,Mexican,43.650207,-79.384813,8.7,35.0,,"133 Richmond St W, Toronto ON M5H 2L3",(416) 907-0650,Most flavourful vegan food I’ve ever had—great for sharing!,Tue-Sat 12:00-21:00,Edward St / Yonge St
Planta Queen,806,Vegan and Vegetarian Restaurant,43.650697,-79.388116,7.6,30.0,,"180 Queen St W, Toronto ON M5V 3X3",(647) 812-1221,"Love this place!!!! It does vegetarian food so well, I feel like I never have to eat meat. Amazing quality, amazing taste",Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,Edward St / Yonge St
Kupfert & Kim,913,Fast Food,43.648684,-79.381812,7.7,70.0,Healthy Fast Food,"100 King St W, Toronto ON M5X 1B1",(416) 504-1233,Love the green smoothies and cardamom cookies,Mon-Thu 7:30-19:30; Fri 7:30-18:00,Edward St / Yonge St
Freshii,491,Salad,43.661036,-79.384105,7.2,29.0,,"23 College St (btwn Yonge & Bay), Toronto ON M5G 2B3",(647) 497-7590,"Healthy and tasty. Live the concept. Wraps with spinach and goat cheese or bacon and eggs, various satisfying oatmeal, smoothies, juices, breakfast balls, energii bites...all yum.",Mon-Fri 9:00-21:00; Sat-Sun 11:00-19:00,Edward St / Yonge St
Toronto Public Library,457,Library,43.653512,-79.384123,6.9,15.0,,"100 Queen St W (City Hall), Toronto ON M5H 2N3",(416) 393-7650,Get photo of this building. Great architecture!,Mon-Fri 10:00-18:00,Edward St / Yonge St
PLANTA Burger Financial District,700,Vegan and Vegetarian Restaurant,43.651059,-79.379245,6.7,22.0,Vegan burger joint.,"4 Temperance St, Toronto ON M5H 1Y4",(647) 348-7000,I had the green goddess. Really nice burger. Fries were great too,Mon-Sat 12:00-20:00,Edward St / Yonge St
Freshii,454,Salad,43.6530239,-79.3803414,5.9,20.0,,"220 Yonge Street (in Eaton Centre), Toronto ON M5B 2H6",(416) 598-4441,Oaxaca bowl with chicken!,Mon-Fri 11:00-19:00; Sat-Sun 11:00-18:00,Edward St / Yonge St
Aesop,329,Hair Salon,43.653617,-79.380353,,,,"220 Yonge St, Toronto ON M5B 2H1",(647) 352-3676,,Mon-Sat 10:00-21:00; Sun 11:00-19:00,Edward St / Yonge St
Vegedelight Vegetarian Restaurant Toronto 波羅蜜養生素食,342,Vegan and Vegetarian Restaurant,43.655043,-79.386237,,,,"173 Dundas St W, Toronto ON M5G 1C7",(416) 581-8668,,Mon-Sat 11:00-21:00,Edward St / Yonge St
Freshii,976,Fast Food,43.650029,-79.374874,6.0,33.0,,"92 King St E (at Church St), Toronto ON M5C 2V8",(647) 344-5017,Quick and heathy. Can't go wrong with any of the bowls! Recommend the Pangoa.,Mon-Fri 10:00-21:00; Sat 11:00-19:00,Edward St / Yonge St
One Love Vegetarian,337,Vegan and Vegetarian Restaurant,43.666753,-79.412046,8.4,51.0,,"854 Bathurst St (at London St), Toronto ON M5R 3G3",(416) 535-5683,(goddayspiritualhome@gmail.com OR whats app +2349018437588) is the solution to solve any love/spiritual problems,Mon-Fri 11:00-21:00; Sat 11:00-19:00,Euclid Ave / Bloor St W
Fresh on Bloor,942,Vegan and Vegetarian Restaurant,43.666876,-79.403414,8.8,380.0,Follow us on Twitter at: @FreshOnBloor,"326 Bloor St W, Toronto ON M5S 1W5",(416) 599-4442,"Not vegetarian/vegan but this is always one spots I come with my vegetarian friends. Food is good and healthy. Today I had a chipotle burger,  sweet potato fries and a strawberry swirl smoothie.",Mon-Fri 11:30-22:00; Sat-Sun 10:30-22:00,Euclid Ave / Bloor St W
Ghazale Restaurant,370,Falafel,43.665418,-79.410336,7.0,34.0,,"504 Bloor St W (btwn Bathurst & Lippincott), Toronto ON M5S 1Y3",(416) 537-4417,Really enjoyed the chicken shwarma!,"Mon-Thu 00:00-3:30, 9:00-23:59; Fri-Sun 9:00-23:59",Euclid Ave / Bloor St W
Grapefruit Moon,593,Diner,43.669703,-79.413173,7.1,84.0,,"968 Bathurst St (Follis Ave), Toronto ON M5R 3G6",(416) 534-9056,"It's hard to find a good breakfast spot in Toronto, even though there's no shortage of them. The Eggs Benedict is a must as a first timer. Be sure to try the Moon Breakfast too. 🍳🥓",Open Daily 9:00-23:59,Euclid Ave / Bloor St W
Annapurna Vegetarian Restaurant,928,Indian,43.672732,-79.413984,7.2,11.0,,"1085 Bathurst St, Toronto ON M5R 3G8",(416) 537-8513,"One of the best restaurants I've ever been to. The atmosphere is relaxing, I love the incense. The sampler is my favorite with samosas. They are the most delicious samosas I've ever had.",Mon-Tue 11:30-21:00; Thu-Sat 11:30-21:00,Euclid Ave / Bloor St W
Toronto Public Library - Palmerston Branch,93,Library,43.665201,-79.41409,6.1,8.0,,"560 Palmerston Ave (at Bloor St. W), Toronto ON M6G 2P7",(416) 393-7680,Not enough computers.,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Euclid Ave / Bloor St W
Toronto Public Library,87,Library,43.664934,-79.413907,,,,"2560 Palmerston Ave, Toronto ON M6G 2P7",(416) 393-7680,,Mon 10:00-20:30; Tue 12:30-20:30; Wed 10:00-18:00; Thu 12:30-20:30; Fri 10:00-18:00; Sat 9:00-17:00,Euclid Ave / Bloor St W
Poop Cafe,243,Café,43.663919,-79.417813,5.5,39.0,,"706 Bloor St W, Toronto ON M6G 1L4",(416) 535-7667,"long waiting time, but it is worth visiting once. decorations are funny and they have good selection of ice-creams, waffles and teas",Open Daily 11:00-22:00,Euclid Ave / Bloor St W
Kensington Natural Bakery,460,Bakery,43.665721,-79.409262,,,,"460 Bloor St W, Toronto ON M5S 1X8",(416) 534-1294,"Vegan, gluten-free, sugar-free baked goods- lots of them! The shop itself is okay but the products are very cheap and tasty",Open Daily 10:00-21:00,Euclid Ave / Bloor St W
Tenon Vegan Sushi,576,Sushi,43.665711,-79.407858,,,,"487 Bloor St W (Brunswick Avenue), Toronto ON M5S 1Y2",(416) 975-5555,,Open Daily 11:00-22:00,Euclid Ave / Bloor St W
Toronto Public Library - Toronto Reference Library,438,Library,43.671847,-79.386762,9.0,378.0,Main intersection: Bloor and Yonge,"789 Yonge St (btwn Collier & Asquith Ave), Toronto ON M4W 2G8",(416) 395-5577,"This is Toronto Public Library’s main location. Lots of seating, a Balzac’s location on the main floor but heads up: it’s a reference library, so none of the books here can be checked out.",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Yonge St / Aylmer Ave
Planta,588,Vegan and Vegetarian Restaurant,43.670196,-79.389399,8.1,133.0,,"1221 Bay St, Toronto ON M5R 3P5",(647) 348-7000,Amazing experience! Loved every bite of my food.,Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,Yonge St / Aylmer Ave
Nutbar,850,Café,43.682967,-79.392136,8.0,9.0,,"1240B Yonge St, Toronto ON M4T 1W5",(416) 519-2700,"This place has their own nutmilk, which is a ""custom blend of: organic cashew, almond and coconut milks"". They also have drip coffee and specialty drinks too!",Mon-Fri 7:00-18:00; Sat 8:00-17:00; Sun 9:00-16:00,Yonge St / Aylmer Ave
Freshii,563,Salad,43.670652,-79.39008,7.3,19.0,,"1250 Bay St (at Cumberland), Toronto ON M5S 2B4",(416) 921-2300,Chicken Pangoa bowls are my favourite! Very nice combination of flavours. Similar to ingredients found in Mexican dishes,Mon-Fri 11:00-21:00; Sat-Sun 11:00-20:00,Yonge St / Aylmer Ave
Govinda's,669,Buffet,43.676941,-79.397023,7.2,18.0,,"243 Ave Rd (DuPont), Toronto ON M5R 2J6",(888) 218-1040,"Went here with a groupon and was not disappointed. Very cool atmosphere, great hosts, and delicious vegan food.","Open Daily 12:00-14:30, 18:00-20:30",Yonge St / Aylmer Ave
Freshii,644,Vegan and Vegetarian Restaurant,43.670301,-79.385284,6.1,65.0,,"53 Bloor St E (at Yonge St.), Toronto ON M4W 1A9",(416) 925-5617,You can't tap to pay. i.e. Eat somewhere else.,Mon-Fri 10:30-20:00,Yonge St / Aylmer Ave
Calii Love,545,Hawaiian,43.670796,-79.389635,5.8,25.0,"With Calii Love’s motto as Eat Good, Love Life, represents our commitment to inspire healthier communities and a positive lifestyle. Our goal is to provide e...","1235 Bay St (Cumberland), Toronto ON M5R 3K4",(647) 343-5683,If u look toward acai bowl they have a good one.,Mon-Fri 9:00-20:00; Sat-Sun 10:00-18:00,Yonge St / Aylmer Ave
Toronto Public Library,390,Library,43.67198,-79.388795,,,,"22 Yorkville Ave, Toronto ON M4W 1L4",(416) 393-7660,,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Yonge St / Aylmer Ave
Toronto Public Library Yorkville,406,Library,43.67198,-79.388795,,,,"22 Yorkville Ave (Yonge St.), Toronto ON M4W 1L4",(416) 393-7660,,,Yonge St / Aylmer Ave
Toronto Reference Library,430,Library,43.671867,-79.38672,,,,"789 Yonge St, Toronto ON M4W 2G8",(416) 395-5577,,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Yonge St / Aylmer Ave
Toronto Public Library - Toronto Reference Library,829,Library,43.671847,-79.386762,9.0,378.0,Main intersection: Bloor and Yonge,"789 Yonge St (btwn Collier & Asquith Ave), Toronto ON M4W 2G8",(416) 395-5577,"This is Toronto Public Library’s main location. Lots of seating, a Balzac’s location on the main floor but heads up: it’s a reference library, so none of the books here can be checked out.",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Davenport Rd / Avenue Rd
Planta,759,Vegan and Vegetarian Restaurant,43.670196,-79.389399,8.1,133.0,,"1221 Bay St, Toronto ON M5R 3P5",(647) 348-7000,Amazing experience! Loved every bite of my food.,Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,Davenport Rd / Avenue Rd
Nutbar,936,Café,43.682967,-79.392136,8.0,9.0,,"1240B Yonge St, Toronto ON M4T 1W5",(416) 519-2700,"This place has their own nutmilk, which is a ""custom blend of: organic cashew, almond and coconut milks"". They also have drip coffee and specialty drinks too!",Mon-Fri 7:00-18:00; Sat 8:00-17:00; Sun 9:00-16:00,Davenport Rd / Avenue Rd
Govinda's,231,Buffet,43.676941,-79.397023,7.2,18.0,,"243 Ave Rd (DuPont), Toronto ON M5R 2J6",(888) 218-1040,"Went here with a groupon and was not disappointed. Very cool atmosphere, great hosts, and delicious vegan food.","Open Daily 12:00-14:30, 18:00-20:30",Davenport Rd / Avenue Rd
Freshii,689,Salad,43.670652,-79.39008,7.3,19.0,,"1250 Bay St (at Cumberland), Toronto ON M5S 2B4",(416) 921-2300,Chicken Pangoa bowls are my favourite! Very nice combination of flavours. Similar to ingredients found in Mexican dishes,Mon-Fri 11:00-21:00; Sat-Sun 11:00-20:00,Davenport Rd / Avenue Rd
Calii Love,719,Hawaiian,43.670796,-79.389635,5.8,25.0,"With Calii Love’s motto as Eat Good, Love Life, represents our commitment to inspire healthier communities and a positive lifestyle. Our goal is to provide e...","1235 Bay St (Cumberland), Toronto ON M5R 3K4",(647) 343-5683,If u look toward acai bowl they have a good one.,Mon-Fri 9:00-20:00; Sat-Sun 10:00-18:00,Davenport Rd / Avenue Rd
Toronto Jewish Film Festival,633,Library,43.669312,-79.396928,,,,"33 Prince Arthur Ave, Toronto ON M5R 1B2",(416) 324-8226,,,Davenport Rd / Avenue Rd
OISE Parking Garage,657,Library,43.669354,-79.398665,,,,"252 Bloor St W (1 Block North off Prince Arthur), Toronto ON M5S 1V6",(416) 978-1850,,,Davenport Rd / Avenue Rd
Toronto Public Library,687,Library,43.67198,-79.388795,,,,"22 Yorkville Ave, Toronto ON M4W 1L4",(416) 393-7660,,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Davenport Rd / Avenue Rd
Kupfert & Kim,694,Vegan and Vegetarian Restaurant,43.669722,-79.391288,,,,"100 Bloor St W (Entrance on Critchley Lane), Toronto ON M5S 3L3",(416) 925-1222,,Mon-Sat 10:00-21:00; Sun 10:00-16:00,Davenport Rd / Avenue Rd
Toronto Public Library - Toronto Reference Library,69,Library,43.671847,-79.386762,9.0,378.0,Main intersection: Bloor and Yonge,"789 Yonge St (btwn Collier & Asquith Ave), Toronto ON M4W 2G8",(416) 395-5577,"This is Toronto Public Library’s main location. Lots of seating, a Balzac’s location on the main floor but heads up: it’s a reference library, so none of the books here can be checked out.",Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Yonge St / Yorkville Ave
Planta,237,Vegan and Vegetarian Restaurant,43.670196,-79.389399,8.1,133.0,,"1221 Bay St, Toronto ON M5R 3P5",(647) 348-7000,Amazing experience! Loved every bite of my food.,Mon-Wed 11:30-21:00; Thu-Sat 11:30-22:00; Sun 11:30-21:00,Yonge St / Yorkville Ave
Freshii,256,Salad,43.670652,-79.39008,7.3,19.0,,"1250 Bay St (at Cumberland), Toronto ON M5S 2B4",(416) 921-2300,Chicken Pangoa bowls are my favourite! Very nice combination of flavours. Similar to ingredients found in Mexican dishes,Mon-Fri 11:00-21:00; Sat-Sun 11:00-20:00,Yonge St / Yorkville Ave
Govinda's,926,Buffet,43.676941,-79.397023,7.2,18.0,,"243 Ave Rd (DuPont), Toronto ON M5R 2J6",(888) 218-1040,"Went here with a groupon and was not disappointed. Very cool atmosphere, great hosts, and delicious vegan food.","Open Daily 12:00-14:30, 18:00-20:30",Yonge St / Yorkville Ave
Freshii,271,Vegan and Vegetarian Restaurant,43.670301,-79.385284,6.1,65.0,,"53 Bloor St E (at Yonge St.), Toronto ON M4W 1A9",(416) 925-5617,You can't tap to pay. i.e. Eat somewhere else.,Mon-Fri 10:30-20:00,Yonge St / Yorkville Ave
Calii Love,212,Hawaiian,43.670796,-79.389635,5.8,25.0,"With Calii Love’s motto as Eat Good, Love Life, represents our commitment to inspire healthier communities and a positive lifestyle. Our goal is to provide e...","1235 Bay St (Cumberland), Toronto ON M5R 3K4",(647) 343-5683,If u look toward acai bowl they have a good one.,Mon-Fri 9:00-20:00; Sat-Sun 10:00-18:00,Yonge St / Yorkville Ave
Toronto Public Library Yorkville,71,Library,43.67198,-79.388795,,,,"22 Yorkville Ave (Yonge St.), Toronto ON M4W 1L4",(416) 393-7660,,,Yonge St / Yorkville Ave
Toronto Public Library,81,Library,43.67198,-79.388795,,,,"22 Yorkville Ave, Toronto ON M4W 1L4",(416) 393-7660,,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Yonge St / Yorkville Ave
Toronto Reference Library,90,Library,43.671867,-79.38672,,,,"789 Yonge St, Toronto ON M4W 2G8",(416) 395-5577,,Mon-Fri 9:00-20:30; Sat 9:00-17:00; Sun 13:30-17:00,Yonge St / Yorkville Ave
Mad Radish,325,Vegan and Vegetarian Restaurant,43.671035,-79.384014,,,,"120 Bloor St E (Park Rd), Toronto ON M4W 1B7",(416) 792-0700,,Mon-Fri 7:30-16:30,Yonge St / Yorkville Ave
Toronto Public Library,414,Library,43.665858,-79.353168,8.0,11.0,,"370 Broadview Ave (at Gerrard St E), Toronto ON M4K 2M8",(416) 393-7720,Sign in at the information desk for access to the Programme Room; a whole study room to yourself even after school hours!,Mon-Thu 9:00-20:30; Fri-Sat 9:00-17:00,Dundas St E / Broadview Ave
Indian Spice Room,406,Indian,43.658843,-79.34925,,,,"717 1/2 Queen St E, Toronto ON M4M 1H1",(647) 349-1009,,Tue-Thu 11:30-21:30; Fri-Sat 11:30-22:30; Sun 11:30-21:00,Dundas St E / Broadview Ave
Animal Liberation Kitchen,416,Vegan and Vegetarian Restaurant,43.658725,-79.349325,,,,"100 Broadview Ave, Toronto ON M4M 3H3",(647) 232-9790,Jackfruit Burger!!! Soooo deliciousness. Must have.,Mon 10:00-14:00; Tue-Thu 10:00-16:00; Fri 10:00-16:30; Sat 9:30-14:00; Sun 10:00-14:00,Dundas St E / Broadview Ave
Vital Life Vegan,336,Vegan and Vegetarian Restaurant,43.66516,-79.35273,,,,"360 Broadview Ave, Toronto ON",(416) 778-4890,,Wed-Thu 11:00-20:00; Fri-Sat 11:00-21:00; Sun 11:00-20:00,Dundas St E / Broadview Ave
